Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Sort Order,Label Themes,Type,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
3D glasses,,,White,No,490,122,51,White,Colorful,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,1,party,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassThreed0,386,4463,FNxEraBTeWRiCvtFu
3D glasses,,,Black,No,490,122,51,Black,Colorful,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,2,party,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassThreed1,386,11020,mM9SXPCcGPfPJAmtm
animal nose,,,NA,No,560,140,51,Black,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Halloween (days before); Halloween,No,All Year,All Year,NA,Free,Free,Cute,Cute,1,fairy tale; goth; party,AccessoryMouthInvisibleNose,Yes,For sale,1.5.0,Yes,AccessoryMouthHalloween0,1271,13018,6RJgfodWEebvmWTN9
ballroom mask,,,White,No,1040,260,51,White,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,Prom,Yes,All Year,All Year,NA,Free,Free,Elegant,Elegant,1,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,1.9.0,Yes,AccessoryGlassDance0,441,4561,aejA2rbAuzwNyPHFZ
ballroom mask,,,Black,No,1040,260,51,Black,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,Prom,Yes,All Year,All Year,NA,Free,Free,Elegant,Elegant,2,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,1.9.0,Yes,AccessoryGlassDance1,441,11159,bQ6ZyNH4876dxpspJ
bandage,,,NA,No,140,35,51,Beige,White,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,All Year,Free,Free,Active,Simple,1,outdoorsy; comfy; sporty,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthBandageSkin,503,4677,2qFT5iPkk8bREvpkj
beak,,,NA,No,490,122,51,Yellow,Yellow,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,All Year,Free,Free,Cute,Cute,1,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthBeakYellow,184,3549,T5CpsJi4xBSachNL5
birthday shades,,,Red,No,NFS,620,573,Red,Pink,1x1,NA,NA,Birthday,,Birthday,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,1,party,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassBirthday2,415,11218,ojXoAAj8Bs2XgRiWB
birthday shades,,,Pink,No,NFS,620,573,Pink,Pink,1x1,NA,NA,Birthday,,Birthday,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,2,party,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassBirthday1,415,11217,g3MPcmAKM4z5h8KYX
birthday shades,,,Yellow,No,NFS,620,573,Yellow,Red,1x1,NA,NA,Birthday,,Birthday,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,3,party,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassBirthday0,415,4510,S6CiB9ZvzBTMhEnDz
birthday shades,,,Blue,No,NFS,620,573,Aqua,Green,1x1,NA,NA,Birthday,,Birthday,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,4,party,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassBirthday3,415,11219,Yr9mRJaZM44554oTS
bottom-rimmed glasses,,,Black,No,1100,275,51,Black,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,1,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose6,463,11086,eT6KLntq43nCGFvB9
bottom-rimmed glasses,,,Red,No,1100,275,51,Red,Red,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,2,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose0,463,4597,ZHqtvcoqqDpJLf9Pc
